longitude,latitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
6,4,03-Mar,00-sun,8.7,19.4,4.6,1.1,130
6,4,03-Mar,06-sat,8.8,16.9,9,1.7,200
7,4,03-Mar,04-thu,5.7,13.6,6.1,1.5,10
6,4,03-Mar,06-sat,5.8,15.8,5.8,1.2,30
5,4,03-Mar,05-fri,4.2,12.3,7.5,1.7,10
5,4,02-Feb,06-sat,-0.9,4.2,9.6,3,6
6,4,02-Feb,03-wed,-0.6,7.3,3.9,0.7,1
6,3,04-Apr,05-fri,12.4,20.6,7.9,1.5,50
7,3,04-Apr,02-tue,17.9,25.4,8,1.4,50
6,4,03-Mar,06-sat,14.4,22.6,7.5,1.4,50
7,3,05-May,03-wed,20.1,30.7,7.5,1.2,50
7,2,04-Apr,05-fri,13.6,20.4,16.6,2.4,40
6,4,03-Mar,04-thu,9.7,19.2,5.9,1.3,16
7,4,03-Mar,06-sat,8.5,17.8,9.1,1.8,30
4,7,04-Apr,00-sun,16.6,27.2,7.4,1.6,10
4,7,01-Jan,00-sun,-8.8,0,4.7,0.8,20
4,2,04-Apr,00-sun,18.6,28.4,7.5,2,70
5,2,02-Feb,00-sun,-8.9,-4.2,8.1,2,15
4,3,06-Jun,02-tue,24.4,33.2,7.6,1,30
3,6,03-Mar,03-wed,10.3,18.8,8.6,1.9,3
3,6,03-Mar,00-sun,7.2,14.9,11.4,1.8,9
4,1,03-Mar,02-tue,8.9,15.4,9.8,2.3,16
2,6,02-Feb,01-mon,-0.9,8.8,6.7,1,9
3,6,02-Feb,01-mon,-0.9,8.8,6.7,1,8
3,6,02-Feb,01-mon,-0.9,8.8,6.7,1,10
3,1,03-Mar,02-tue,11.1,19.1,10.3,2.6,8
4,6,04-Apr,04-thu,11.6,20.6,12.3,2.8,10
5,7,03-Mar,05-fri,13.2,21.4,10.5,1.9,150
4,6,02-Feb,05-fri,-3.3,4.5,9.7,2,50
3,2,12-Dec,05-fri,-9.8,-5.4,7.3,1.1,2
3,2,08-Aug,01-mon,28.1,33.3,7.5,2.5,1
3,3,06-Jun,06-sat,22.2,29.7,6.6,1.2,8
3,3,04-Apr,01-mon,17.2,23.7,8.3,1.7,9
3,2,03-Mar,02-tue,12.5,17.2,9.9,3.1,16
3,3,03-Mar,01-mon,6.4,15.7,5.8,1.1,3
3,3,02-Feb,00-sun,1,7.1,5.2,0.9,60
3,2,02-Feb,01-mon,0.9,6.5,4.5,1,1
3,2,02-Feb,06-sat,-1,3.4,7.9,1.7,20
2,2,02-Feb,01-mon,-8.6,-5,8.1,1.7,1
4,5,03-Mar,04-thu,7.8,15.1,6.7,1.2,50
4,5,03-Mar,03-wed,6.4,14.5,9,1.3,2
3,5,11-Nov,05-fri,-0.3,3.2,5.8,1.3,3
3,6,05-May,03-wed,17.9,29.1,6.9,1.2,1
3,6,05-May,03-wed,17.9,29.1,6.9,1.2,20
3,6,04-Apr,03-wed,11.4,18,8.3,2,3
3,6,04-Apr,02-tue,10.1,20.3,7.2,1.3,15
3,6,04-Apr,00-sun,6.9,16.2,7.6,1.3,2
2,6,03-Mar,06-sat,6.4,15.8,8.4,1.3,5
3,1,06-Jun,04-thu,22.7,30.5,8.4,2.3,16
4,6,04-Apr,01-mon,12.8,22.2,10.5,2.6,1
5,7,04-Apr,06-sat,12.8,22.2,9.1,1.9,30
5,6,04-Apr,03-wed,10,17.5,14.1,3.6,3
5,7,04-Apr,01-mon,9.4,20.7,8.3,2.2,30
5,6,03-Mar,00-sun,7.2,19.1,4.8,0.9,3
5,6,03-Mar,06-sat,7.8,16.9,9.9,2,3
4,6,01-Jan,04-thu,-2.9,5.2,4.2,1,5
2,3,06-Jun,05-fri,23.9,31.9,6.4,1.3,30
3,3,06-Jun,06-sat,22.4,28.2,6.2,1.4,6
2,2,05-May,02-tue,19.2,23.9,5.8,1.1,1
2,2,05-May,06-sat,13.7,20.1,11,2.2,13
3,3,05-May,06-sat,13.7,20.1,11,2.2,50
2,2,05-May,06-sat,13.7,20.1,11,2.2,6
2,2,04-Apr,00-sun,17.5,26.9,7.6,1.8,10
2,3,04-Apr,03-wed,14.2,20.5,7.5,1.7,15
2,2,04-Apr,00-sun,13.2,21.2,6.4,1.4,15
3,3,04-Apr,03-wed,11.1,15.3,7.6,2.1,10
4,2,04-Apr,02-tue,12.9,21.4,5.8,1.3,1
3,3,04-Apr,01-mon,9.5,18.5,7.4,1.3,250
2,2,04-Apr,01-mon,9.5,18.5,7.4,1.3,30
3,3,04-Apr,06-sat,8.1,14.5,6.3,1.3,20
2,3,03-Mar,04-thu,7.8,16.3,5.6,1.2,30
2,2,03-Mar,02-tue,6.5,12.8,5.4,1.2,50
2,3,03-Mar,02-tue,6.5,12.8,5.4,1.2,1
2,2,03-Mar,01-mon,6.4,11.1,7,1.5,30
3,2,03-Mar,03-wed,6.3,13,6.3,1.3,40
3,2,03-Mar,06-sat,7.7,16.2,5.6,1,30
3,2,03-Mar,05-fri,6.2,15.1,5.5,1,5
2,3,03-Mar,06-sat,6.2,16,6,1.3,3
2,2,03-Mar,06-sat,6.2,16,6,1.3,9
3,2,03-Mar,06-sat,6.2,16,6,1.3,50
2,3,03-Mar,05-fri,4.5,11.3,5.2,1.2,30
3,3,03-Mar,04-thu,3.1,9.6,8.6,1.8,1
3,3,03-Mar,03-wed,0.6,6.4,8.3,1.7,16
1,3,02-Feb,04-thu,6.6,12.8,8.5,2.2,20
3,3,02-Feb,00-sun,-2.2,4,6.8,1,30
5,6,07-Jul,01-mon,26.9,34.4,4.9,0.7,1
6,5,04-Apr,06-sat,12.7,22.6,6.2,1.2,10
5,5,04-Apr,06-sat,12.7,22.6,6.2,1.2,70
6,6,04-Apr,06-sat,12.9,22.7,9,1.7,700
6,6,03-Mar,06-sat,10.5,18.6,6.6,1.2,2
6,5,03-Mar,06-sat,10.5,18.6,6.6,1.2,3
6,5,03-Mar,03-wed,5.1,13.9,8.3,1.6,10
6,5,02-Feb,06-sat,1.1,7.2,7.7,1.2,1
6,5,02-Feb,00-sun,-1.9,3,9.3,2.1,1
6,5,02-Feb,00-sun,-6.7,2.6,6.1,1,2
5,6,01-Jan,01-mon,-12.8,-4.3,5.7,1.1,1
6,6,01-Jan,00-sun,-15.4,-10.6,7.5,1.9,4
2,4,12-Dec,03-wed,7.6,15.3,10,1,6
3,5,09-Sep,01-mon,21.7,29.3,5.9,0.8,1
3,5,04-Apr,01-mon,10.9,21.3,8.4,1.2,39
4,4,12-Dec,04-thu,4.9,8.3,12.3,3.1,3
3,4,11-Nov,02-tue,0.1,8,4.7,0.7,6
3,4,06-Jun,01-mon,22.7,27.5,6.5,1.9,60
5,3,06-Jun,00-sun,22.3,29.4,5.4,1.2,6
5,3,05-May,06-sat,18.7,26,7.4,1.7,13
5,3,04-Apr,03-wed,13.4,22.7,7.6,1.4,60
5,3,04-Apr,06-sat,14,22.8,8.6,1.8,100
5,3,04-Apr,06-sat,14,22.8,8.6,1.8,200
5,4,04-Apr,05-fri,14.2,24.6,7,1.4,30
6,3,04-Apr,05-fri,14.2,24.6,7,1.4,260
5,3,03-Mar,03-wed,10.8,19,10.5,1.3,10
5,4,03-Mar,01-mon,7.8,17.1,6.2,1.2,30
5,4,03-Mar,05-fri,10.8,18.1,5.4,2,10
4,4,02-Feb,05-fri,2,7.2,7.7,1.3,270
4,4,02-Feb,03-wed,0.9,9.4,5.2,1.3,60
5,4,01-Jan,05-fri,-2,3.2,3.9,1.3,6
5,4,01-Jan,01-mon,-3.9,0.7,5.7,1.1,3
5,4,11-Nov,04-thu,-2.6,3.2,6.6,1.1,3
4,5,04-Apr,05-fri,13.9,23.6,8.2,1.5,8
5,5,03-Mar,03-wed,11.3,19.4,9.7,1.6,80
5,4,03-Mar,04-thu,6.3,13,8.4,1.1,50
5,5,02-Feb,03-wed,-4.4,4.4,7.1,1,15
5,4,01-Jan,01-mon,-5.4,0.2,12.5,2.5,20
5,5,01-Jan,00-sun,-0.4,5.4,6.9,1.1,20
4,6,04-Apr,01-mon,11.9,20.8,6.6,1.6,6
4,6,02-Feb,05-fri,-3.1,5,9.3,1.5,13
4,3,06-Jun,04-thu,22.6,29.4,5.5,0.8,10
4,4,01-Jan,02-tue,-1.5,2,5.1,1.1,10
2,4,04-Apr,05-fri,14.4,19.5,8.4,2.4,10
2,4,04-Apr,03-wed,13.5,23.6,7.9,1.5,50
1,3,02-Feb,04-thu,7.4,15.1,7.1,2.1,20
5,2,12-Dec,04-thu,-2.7,1.1,9.3,3.2,5
4,2,03-Mar,02-tue,7.5,15.7,8.5,2.2,60
4,2,03-Mar,06-sat,8.5,16.8,7.9,1.8,60
5,1,03-Mar,03-wed,7,15.6,8.1,1.8,200
5,2,02-Feb,04-thu,8.3,15.3,8.3,3,10
5,1,02-Feb,06-sat,-3.7,3.1,10.1,2,1
4,6,04-Apr,06-sat,12.7,21.3,10.9,1.9,1
4,6,03-Mar,01-mon,6.3,16.4,8.7,1.2,20
3,5,03-Mar,03-wed,5.3,13,8.1,1.5,30
3,6,03-Mar,02-tue,3.6,11.7,6.7,1.1,20
4,6,03-Mar,05-fri,10.4,19.2,6.9,1.4,6
3,6,02-Feb,05-fri,-0.1,6,7.7,1.3,1
6,4,04-Apr,05-fri,14.2,25.3,7,1.3,30
7,4,03-Mar,04-thu,6.9,13.4,8.2,1.5,10
7,4,03-Mar,01-mon,9.6,17.5,7.5,1.4,20
5,5,03-Mar,05-fri,11.9,20.2,5,0.8,30
7,4,03-Mar,03-wed,7.2,15.3,6.5,1.4,20
6,4,02-Feb,05-fri,-3.4,3.7,6.5,1.2,50
7,4,02-Feb,01-mon,-5,0,6.5,2,50
5,5,01-Jan,03-wed,-3.1,4.8,5.5,0.8,70
7,3,03-Mar,01-mon,8.5,18.7,6.9,1.3,4
7,3,03-Mar,01-mon,3.1,9.9,5.7,1.4,80
6,3,02-Feb,03-wed,0.8,9.9,4.4,1.1,60
4,3,04-Apr,02-tue,10.5,18.8,8.7,1.9,16
5,3,03-Mar,04-thu,7.6,16.9,4.8,0.8,60
5,2,03-Mar,03-wed,6.6,14.2,6.8,1.4,9
4,3,01-Jan,01-mon,-9.2,-2.5,6.8,1.1,9
6,3,04-Apr,00-sun,14.6,22.9,8.1,2.2,6
5,2,04-Apr,03-wed,13.1,22.8,8,1.4,50
6,2,04-Apr,05-fri,13.7,25.2,6.5,1.3,100
6,2,03-Mar,01-mon,8.2,17.8,7.2,1.3,10
6,3,01-Jan,02-tue,-5.3,1.9,6.7,1.3,33
3,6,04-Apr,00-sun,13,20.6,7.1,2,200
3,5,04-Apr,02-tue,9.6,19,8.8,2.1,20
3,5,03-Mar,00-sun,5.5,13.8,8.8,1.9,9
3,6,01-Jan,06-sat,-3.4,2.4,5.9,1.1,50
4,6,12-Dec,02-tue,-2.5,3.2,8.5,1.5,5
5,5,06-Jun,05-fri,23.8,31.5,6.4,1.6,10
5,7,04-Apr,05-fri,13.8,24,8.3,2.1,3
5,7,04-Apr,05-fri,11.3,20.5,9.5,2.8,50
5,7,04-Apr,01-mon,11,21.2,6.9,1.9,20
5,6,03-Mar,04-thu,11.2,22.6,7.2,1.7,6
5,7,03-Mar,03-wed,10.3,19.5,9,2.4,10
5,6,03-Mar,04-thu,5.9,13.5,7.8,1.9,20
4,6,02-Feb,00-sun,-1.4,4.6,9.9,1.7,10
5,6,02-Feb,04-thu,5.3,14.5,3.6,0.8,80
2,3,12-Dec,05-fri,-3.7,1.6,5.6,0.9,4
3,3,05-May,05-fri,21.3,31,6,1.2,17
3,3,04-Apr,01-mon,11.7,18.2,5.5,1.7,35
3,2,04-Apr,01-mon,11.7,18.2,5.5,1.7,9
3,3,03-Mar,01-mon,9,16.7,6.9,1.7,20
2,2,03-Mar,01-mon,9,16.7,6.9,1.7,10
2,3,03-Mar,00-sun,5.4,12.4,7.1,1.5,90
3,2,03-Mar,03-wed,7.5,12.4,6.8,1.6,10
3,2,02-Feb,02-tue,0.8,5.9,8.2,1.6,20
6,6,05-May,00-sun,16.9,25.4,6.3,1.2,1
6,6,04-Apr,06-sat,13.2,23.7,8.2,1.5,100
5,6,03-Mar,04-thu,6.4,16.3,8,1.6,1
4,6,03-Mar,03-wed,4.6,13.9,6.1,1.3,2
5,5,03-Mar,01-mon,3.2,10,11,2.6,5
6,5,03-Mar,00-sun,6.1,15.1,11.4,2.7,2
6,5,03-Mar,00-sun,3,12.4,6.2,1.2,1
5,5,03-Mar,06-sat,1.7,11,6.9,1.2,1
6,5,03-Mar,06-sat,1.7,11,6.9,1.2,5
5,6,03-Mar,05-fri,3.2,9.6,9.5,1.8,5
6,5,03-Mar,01-mon,1.5,6.8,11.4,3.1,20
3,5,06-Jun,02-tue,21.8,30.5,7.3,1.2,30
2,5,03-Mar,00-sun,6.9,16,12.3,2.6,200
2,5,03-Mar,06-sat,2.4,12,7.2,1,1
2,5,03-Mar,06-sat,2.4,12,7.2,1,1
2,5,02-Feb,05-fri,-1.7,3.7,9.1,2.6,5
4,4,10-Oct,06-sat,16.7,26.5,4.9,0.8,30
4,4,05-May,00-sun,17.7,26.4,5.7,1.6,50
5,4,09-Sep,01-mon,19.2,26.6,4.2,1,2
5,4,06-Jun,03-wed,21.6,28.2,10.8,1.3,5
5,4,05-May,03-wed,20.6,30.4,5,0.9,40
5,4,04-Apr,06-sat,12.1,20.5,5.6,1.3,1
5,3,03-Mar,00-sun,10.2,16.7,6.1,1,1
5,3,03-Mar,00-sun,7.5,16.6,9.6,1.9,2
5,3,03-Mar,04-thu,1.6,7.6,9.7,2,1
5,4,03-Mar,03-wed,-0.4,7.3,11.2,2.4,1
5,4,02-Feb,04-thu,-2,2.2,10.7,1.6,1
4,4,02-Feb,03-wed,-1.4,5.1,4.4,0.8,5
4,4,06-Jun,00-sun,22.7,30.8,6.1,1.3,1
4,4,06-Jun,02-tue,23,30.3,6.7,1.5,3
4,4,05-May,05-fri,23.2,31.2,5.7,1.5,1
4,4,03-Mar,06-sat,9.5,17.5,6,1.9,1
5,5,09-Sep,07-hol,19,27.8,5.8,0.6,1
4,5,06-Jun,05-fri,17.6,29.4,6,0.9,6
4,5,06-Jun,03-wed,22.7,28.8,12.7,1.9,2
4,5,06-Jun,03-wed,22.7,28.8,12.7,1.9,150
5,5,06-Jun,01-mon,20.4,28.2,7,1.2,30
4,5,06-Jun,01-mon,20.4,28.2,7,1.2,60
5,5,05-May,04-thu,22.8,32,7.2,0.9,70
5,5,04-Apr,06-sat,14.3,23.4,10.2,1.6,50
5,5,04-Apr,06-sat,14.3,23.4,10.2,1.6,5
4,5,03-Mar,05-fri,7.9,17.8,8.9,1.4,12
4,5,03-Mar,04-thu,7,17,8.6,1.6,1
4,4,03-Mar,01-mon,4.2,11.3,12,2,1
5,5,03-Mar,00-sun,7.5,16.1,14,1.7,2
5,5,03-Mar,06-sat,10,18.2,8.5,1.3,1
5,5,03-Mar,06-sat,10,18.2,8.5,1.3,5
5,4,03-Mar,05-fri,11.9,21.2,8.3,1.1,5
5,5,03-Mar,02-tue,-2.6,1.8,11.7,2.7,1
4,6,03-Mar,06-sat,10.7,19.4,8.6,1.8,1
4,6,03-Mar,05-fri,12.6,23,9.2,1.8,4
4,3,10-Oct,02-tue,17.5,26.6,6.1,1.1,1
4,3,06-Jun,01-mon,21.1,28.5,6.7,1.5,1
4,3,05-May,07-hol,19,27.5,7.5,1.8,1
3,3,03-Mar,02-tue,4.6,12,7.2,1.8,20
2,3,03-Mar,00-sun,6.2,13.6,10.8,3.2,10
3,3,03-Mar,06-sat,7,16.2,7.5,1.3,5
3,3,03-Mar,06-sat,7.6,16.5,7,1,1
2,3,03-Mar,06-sat,7.6,16.5,7,1,1
1,3,03-Mar,06-sat,1,10.3,7.7,1.1,1
5,2,09-Sep,02-tue,20.3,27.6,8.6,2.3,6
5,2,02-Feb,05-fri,-2.7,4.5,10.5,2.4,1
3,5,10-Oct,04-thu,18.2,25.1,5.5,1.3,3
3,6,09-Sep,07-hol,18.3,27.3,4.8,0.7,20
4,6,06-Jun,04-thu,21.4,30.9,7,1.6,9
4,5,06-Jun,02-tue,21.5,28.8,7.4,1.6,9
4,5,05-May,05-fri,21.7,28.4,6.2,1.4,10
3,6,05-May,05-fri,21.7,28.4,6.2,1.4,3
3,5,03-Mar,01-mon,10,20.8,7.2,1.3,20
3,5,03-Mar,01-mon,3.2,10.3,12.5,2.9,1
4,5,03-Mar,06-sat,8.5,17.6,7.3,1.6,5
4,6,02-Feb,04-thu,0.1,3.9,9.4,3.4,1
3,5,02-Feb,04-thu,-3.7,1.3,9.3,2.5,1
6,4,03-Mar,06-sat,3.8,12.3,6.2,1.3,1
7,4,03-Mar,06-sat,3.8,12.3,6.2,1.3,1
6,4,03-Mar,05-fri,1.9,10.6,7.8,1,1
6,4,03-Mar,05-fri,1.9,10.6,7.8,1,1
7,3,05-May,07-hol,13.9,22.5,8.3,1.6,100
6,3,04-Apr,01-mon,18.3,28.2,7.7,1.6,100
4,7,06-Jun,04-thu,21.8,31.2,10.1,1.3,30
4,7,05-May,07-hol,19.6,30.1,5.9,1.2,19
4,7,05-May,00-sun,18.9,28.8,6.1,1.3,20
4,7,04-Apr,02-tue,18.1,27.5,5.3,0.9,50
3,7,04-Apr,05-fri,13.4,23.1,9.6,1.5,300
4,7,03-Mar,00-sun,6.7,15.1,11.2,1.8,1
4,6,03-Mar,05-fri,10.9,21.8,8.8,1.3,1
4,3,06-Jun,01-mon,20.6,27.8,6.1,1.3,6
4,3,04-Apr,00-sun,12.9,19.5,8.6,1.3,1
4,5,10-Oct,06-sat,11.3,16.4,7.8,0.8,10
5,3,05-May,05-fri,22.6,29.9,6,1.4,75
6,3,05-May,03-wed,21.9,31.6,5,1.1,23
3,6,10-Oct,01-mon,14.8,25.2,5.1,0.8,20
2,6,09-Sep,07-hol,18.6,25.2,7.2,2.5,10
3,6,04-Apr,01-mon,15.3,24.7,7.8,1.5,100
3,6,03-Mar,02-tue,2.9,12.6,8.2,1.5,1
3,6,03-Mar,02-tue,2.9,12.6,8.2,1.5,1
3,6,03-Mar,00-sun,5.3,13.8,10.8,2.6,1
2,6,03-Mar,00-sun,5.3,13.8,10.8,2.6,20
2,6,03-Mar,00-sun,5.3,13.8,10.8,2.6,50
3,5,01-Jan,06-sat,-7.1,1,5,1,13
4,6,06-Jun,01-mon,20.6,25.5,5.6,1.4,1
4,6,06-Jun,01-mon,20.6,25.5,5.6,1.4,30
5,6,06-Jun,00-sun,21.8,30,6.6,1.7,50
4,6,06-Jun,07-hol,20.5,27.1,6.4,1.6,50
5,6,06-Jun,04-thu,22.2,31.3,6.9,1.6,500
4,6,06-Jun,03-wed,22.1,28.4,10.5,2.5,4
5,6,05-May,03-wed,20.9,31.3,5.9,1.3,10
4,5,05-May,02-tue,21,30.8,7.1,1.8,30
5,6,05-May,00-sun,19.4,29.4,6.6,1.7,300
5,6,05-May,01-mon,17.3,23.9,7.7,2,20
5,6,03-Mar,06-sat,8,17.2,7.9,1.9,120
4,6,03-Mar,06-sat,8,17.2,7.9,1.9,10
4,5,03-Mar,00-sun,6.7,16.3,12.1,2.8,20
5,6,03-Mar,00-sun,6.7,16.3,12.1,2.8,200
3,3,09-Sep,04-thu,21.8,29.6,5.4,1.3,1
3,2,09-Sep,02-tue,21.9,27.7,5.6,1.3,1
2,2,06-Jun,02-tue,22.5,29.1,6.3,1.2,12
3,3,06-Jun,07-hol,21.4,27.8,5.7,1.8,1
2,3,06-Jun,01-mon,20.1,27.1,5.7,1.2,30
3,2,04-Apr,00-sun,16.7,24.4,6.1,1.9,1
3,3,03-Mar,03-wed,5,13.1,6,1.5,1
2,2,03-Mar,03-wed,5,13.1,6,1.5,1
3,2,03-Mar,01-mon,4.5,9.2,9.5,2,1
2,3,03-Mar,00-sun,7,14.9,8.2,2.2,1
2,3,03-Mar,02-tue,10,17.2,5,1.6,1
2,2,03-Mar,05-fri,5.6,10.5,5.8,1.7,1
3,3,03-Mar,02-tue,-2.6,0.8,9.7,3.3,5
3,2,03-Mar,00-sun,5.9,15.5,5.2,1.2,1
2,3,03-Mar,00-sun,2.8,5.7,7.1,1.7,1
5,5,04-Apr,03-wed,14.5,24.8,6.9,1.2,4
5,5,04-Apr,02-tue,13,22.8,9.8,1.5,30
6,5,04-Apr,01-mon,12.6,20.9,10.4,1.4,30
6,5,04-Apr,02-tue,12.8,21.2,7.1,1.6,2
3,5,04-Apr,02-tue,10,20.4,5.9,1.1,2
3,5,04-Apr,02-tue,10,20.4,5.9,1.1,10
4,4,04-Apr,00-sun,7.5,13.2,9.4,3.3,12
6,3,11-Nov,06-sat,2.6,9.6,6.1,0.6,10
5,3,04-Apr,00-sun,6.2,13.5,9.3,2,10
5,4,04-Apr,00-sun,6.2,13.5,9.3,2,10
4,5,07-Jul,06-sat,25.8,30.3,4.5,1.5,1
4,4,04-Apr,00-sun,14.2,21.6,7,1.9,1
4,5,11-Nov,03-wed,2.8,11.4,4.2,0.6,1
5,4,10-Oct,01-mon,16.4,20.5,14.1,3.4,2
4,5,04-Apr,02-tue,14.8,23.6,11.4,1.5,30
5,4,04-Apr,02-tue,10.8,20.2,8.4,1.1,1
4,6,02-Feb,04-thu,6.3,14.4,7.6,2,20
